From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Pathway	Gene Ontology (biological process)	Gene Ontology (GO)	Gene Ontology IDs
A0A0A0MT89	A0A0A0MT89	reviewed	KJ01_HUMAN	Immunoglobulin kappa joining 1	IGKJ1	Homo sapiens (Human)	12		adaptive immune response [GO:0002250]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]	GO:0002250; GO:0005576; GO:0005886; GO:0019814
A0A0A0MT96	A0A0A0MT96	unreviewed	A0A0A0MT96_HUMAN	Immunoglobulin kappa joining 3	IGKJ3	Homo sapiens (Human)	13				
A0A0A0MTA3	A0A0A0MTA3	unreviewed	A0A0A0MTA3_HUMAN	Immunoglobulin kappa joining 5	IGKJ5	Homo sapiens (Human)	13				
A0A0B4J1U7	A0A0B4J1U7	reviewed	HV601_HUMAN	Immunoglobulin heavy variable 6-1	IGHV6-1	Homo sapiens (Human)	121		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0B4J1V0	A0A0B4J1V0	reviewed	HV315_HUMAN	Immunoglobulin heavy variable 3-15	IGHV3-15	Homo sapiens (Human)	119		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0B4J1V2	A0A0B4J1V2	reviewed	HV226_HUMAN	Immunoglobulin heavy variable 2-26	IGHV2-26	Homo sapiens (Human)	119		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0B4J1V6	A0A0B4J1V6	reviewed	HV373_HUMAN	Immunoglobulin heavy variable 3-73	IGHV3-73	Homo sapiens (Human)	119		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0B4J1X5	A0A0B4J1X5	reviewed	HV374_HUMAN	Immunoglobulin heavy variable 3-74	IGHV3-74	Homo sapiens (Human)	117		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0B4J1Y8	A0A0B4J1Y8	reviewed	LV949_HUMAN	Immunoglobulin lambda variable 9-49	IGLV9-49	Homo sapiens (Human)	123		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A0C4DH24	A0A0C4DH24	reviewed	KV621_HUMAN	Immunoglobulin kappa variable 6-21	IGKV6-21	Homo sapiens (Human)	114		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A0C4DH25	A0A0C4DH25	reviewed	KVD20_HUMAN	Immunoglobulin kappa variable 3D-20	IGKV3D-20	Homo sapiens (Human)	116		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A0C4DH31	A0A0C4DH31	reviewed	HV118_HUMAN	Immunoglobulin heavy variable 1-18	IGHV1-18	Homo sapiens (Human)	117		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0C4DH36	A0A0C4DH36	reviewed	HV338_HUMAN	Probable non-functional immunoglobulin heavy variable 3-38	IGHV3-38	Homo sapiens (Human)	116		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0C4DH38	A0A0C4DH38	reviewed	HV551_HUMAN	Immunoglobulin heavy variable 5-51	IGHV5-51	Homo sapiens (Human)	117		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0C4DH43	A0A0C4DH43	reviewed	HV70D_HUMAN	Immunoglobulin heavy variable 2-70D	IGHV2-70D	Homo sapiens (Human)	119		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0C4DH67	A0A0C4DH67	reviewed	KV108_HUMAN	Immunoglobulin kappa variable 1-8	IGKV1-8	Homo sapiens (Human)	115		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005615; GO:0005886; GO:0006955; GO:0019814
A0A0C4DH73	A0A0C4DH73	reviewed	KV112_HUMAN	Immunoglobulin kappa variable 1-12	IGKV1-12	Homo sapiens (Human)	117		adaptive immune response [GO:0002250]; immune response [GO:0006955]	extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814
P01611	P01611	reviewed	KVD12_HUMAN	Immunoglobulin kappa variable 1D-12 (Ig kappa chain V-I region Wes)	IGKV1D-12	Homo sapiens (Human)	117		adaptive immune response [GO:0002250]; immune response [GO:0006955]	blood microparticle [GO:0072562]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; adaptive immune response [GO:0002250]; immune response [GO:0006955]	GO:0002250; GO:0003823; GO:0005576; GO:0005615; GO:0005886; GO:0006955; GO:0019814; GO:0070062; GO:0072562
A0A0D9SF30	A0A0D9SF30	unreviewed	A0A0D9SF30_HUMAN	Neural cell adhesion molecule 1	NCAM1	Homo sapiens (Human)	468			membrane [GO:0016020]	GO:0016020
A0A0G2JRQ6	A0A0G2JRQ6	unreviewed	A0A0G2JRQ6_HUMAN	Ig-like domain-containing protein		Homo sapiens (Human)	117		immune response [GO:0006955]	extracellular space [GO:0005615]; immune response [GO:0006955]	GO:0005615; GO:0006955
A0A0G2JSC0	A0A0G2JSC0	unreviewed	A0A0G2JSC0_HUMAN	Immunoglobulin lambda variable 5-45	IGLV5-45	Homo sapiens (Human)	123			extracellular region [GO:0005576]	GO:0005576
A0A0J9YX35	A0A0J9YX35	reviewed	HV64D_HUMAN	Immunoglobulin heavy variable 3-64D	IGHV3-64D	Homo sapiens (Human)	117		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0J9YY99	A0A0J9YY99	unreviewed	A0A0J9YY99_HUMAN	Ig-like domain-containing protein		Homo sapiens (Human)	117		immunoglobulin mediated immune response [GO:0016064]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; antigen binding [GO:0003823]; immunoglobulin mediated immune response [GO:0016064]	GO:0003823; GO:0005576; GO:0005886; GO:0016064; GO:0019814
A0A0R4J2G7	A0A0R4J2G7	unreviewed	A0A0R4J2G7_HUMAN	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	NRXN1	Homo sapiens (Human)	1495			nucleolus [GO:0005730]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]	GO:0005730; GO:0005886; GO:0042734
A0A1D5RMU6	A0A1D5RMU6	unreviewed	A0A1D5RMU6_HUMAN	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	NRXN1	Homo sapiens (Human)	1499			nucleolus [GO:0005730]; plasma membrane [GO:0005886]; presynaptic membrane [GO:0042734]	GO:0005730; GO:0005886; GO:0042734
E7ERL8	E7ERL8	unreviewed	E7ERL8_HUMAN	Neurexin-1 (Neurexin I-alpha) (Neurexin-1-alpha)	NRXN1	Homo sapiens (Human)	1507		adult behavior [GO:0030534]; gephyrin clustering involved in postsynaptic density assembly [GO:0097116]; learning [GO:0007612]; neuroligin clustering involved in postsynaptic membrane assembly [GO:0097118]; neuromuscular process controlling balance [GO:0050885]; neurotransmitter secretion [GO:0007269]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; postsynaptic density protein 95 clustering [GO:0097119]; prepulse inhibition [GO:0060134]; presynapse assembly [GO:0099054]; regulation of grooming behavior [GO:2000821]; regulation of postsynaptic density assembly [GO:0099151]; regulation of presynapse assembly [GO:1905606]; regulation of synaptic vesicle cycle [GO:0098693]; regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission [GO:0150036]; synaptic membrane adhesion [GO:0099560]	cell surface [GO:0009986]; endoplasmic reticulum [GO:0005783]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; neuronal cell body [GO:0043025]; nuclear membrane [GO:0031965]; nucleolus [GO:0005730]; plasma membrane [GO:0005886]; presynaptic active zone membrane [GO:0048787]; protein-containing complex [GO:0032991]; Schaffer collateral - CA1 synapse [GO:0098685]; vesicle [GO:0031982]; acetylcholine receptor binding [GO:0033130]; calcium channel regulator activity [GO:0005246]; cell adhesion molecule binding [GO:0050839]; neuroligin family protein binding [GO:0097109]; adult behavior [GO:0030534]; gephyrin clustering involved in postsynaptic density assembly [GO:0097116]; learning [GO:0007612]; neuroligin clustering involved in postsynaptic membrane assembly [GO:0097118]; neuromuscular process controlling balance [GO:0050885]; neurotransmitter secretion [GO:0007269]; positive regulation of excitatory postsynaptic potential [GO:2000463]; positive regulation of synapse assembly [GO:0051965]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission, glutamatergic [GO:0051968]; postsynaptic density protein 95 clustering [GO:0097119]; prepulse inhibition [GO:0060134]; presynapse assembly [GO:0099054]; regulation of grooming behavior [GO:2000821]; regulation of postsynaptic density assembly [GO:0099151]; regulation of presynapse assembly [GO:1905606]; regulation of synaptic vesicle cycle [GO:0098693]; regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission [GO:0150036]; synaptic membrane adhesion [GO:0099560]	GO:0005246; GO:0005730; GO:0005783; GO:0005886; GO:0007269; GO:0007612; GO:0009986; GO:0030534; GO:0031965; GO:0031982; GO:0032991; GO:0033130; GO:0043025; GO:0048787; GO:0050839; GO:0050885; GO:0051965; GO:0051968; GO:0060134; GO:0090129; GO:0097109; GO:0097116; GO:0097118; GO:0097119; GO:0098685; GO:0098693; GO:0098978; GO:0098982; GO:0099054; GO:0099151; GO:0099560; GO:0150036; GO:1905606; GO:2000463; GO:2000821
A0A3B3ISA6	A0A3B3ISA6	unreviewed	A0A3B3ISA6_HUMAN	Complement C4B (Chido blood group)	C4B	Homo sapiens (Human)	1296		complement activation, classical pathway [GO:0006958]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]	axon [GO:0030424]; dendrite [GO:0030425]; extracellular space [GO:0005615]; synapse [GO:0045202]; endopeptidase inhibitor activity [GO:0004866]; complement activation, classical pathway [GO:0006958]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]	GO:0004866; GO:0005615; GO:0006954; GO:0006958; GO:0030424; GO:0030425; GO:0045087; GO:0045202
A0A494C0G5	A0A494C0G5	unreviewed	A0A494C0G5_HUMAN	Agrin	AGRN	Homo sapiens (Human)	1940		cell differentiation [GO:0030154]	basement membrane [GO:0005604]; extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; cell differentiation [GO:0030154]	GO:0005509; GO:0005576; GO:0005604; GO:0016020; GO:0030154
A0A4W8ZXM2	A0A4W8ZXM2	unreviewed	A0A4W8ZXM2_HUMAN	Immunoglobulin heavy variable 3-72	IGHV3-72	Homo sapiens (Human)	101		adaptive immune response [GO:0002250]	extracellular region [GO:0005576]; immunoglobulin complex [GO:0019814]; plasma membrane [GO:0005886]; adaptive immune response [GO:0002250]	GO:0002250; GO:0005576; GO:0005886; GO:0019814
A0A804HKL8	A0A804HKL8	unreviewed	A0A804HKL8_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1543		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7EN28	E7EN28	unreviewed	E7EN28_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1351		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7ESV6	E7ESV6	unreviewed	E7ESV6_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1299		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7ETE3	E7ETE3	unreviewed	E7ETE3_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1571		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7EUP0	E7EUP0	unreviewed	E7EUP0_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1308		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7EUW2	E7EUW2	unreviewed	E7EUW2_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1580		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7EVD6	E7EVD6	unreviewed	E7EVD6_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1528		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
E7EX52	E7EX52	unreviewed	E7EX52_HUMAN	Adhesion G protein-coupled receptor L3	ADGRL3	Homo sapiens (Human)	1342		cell surface receptor signaling pathway [GO:0007166]	membrane [GO:0016020]; carbohydrate binding [GO:0030246]; G protein-coupled receptor activity [GO:0004930]; cell surface receptor signaling pathway [GO:0007166]	GO:0004930; GO:0007166; GO:0016020; GO:0030246
