Entry	Entry Name	Protein names	Gene Names	GO
Q15848	ADIPO_HUMAN	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	ADIPOQ ACDC ACRP30 APM1 GBP28	positive regulation of protein phosphorylation [GO:0001934]
Q8IUX7	AEBP1_HUMAN	Adipocyte enhancer-binding protein 1 (AE-binding protein 1) (Aortic carboxypeptidase-like protein)	AEBP1 ACLP	other
P43652	AFAM_HUMAN	Afamin (Alpha-albumin) (Alpha-Alb)	AFM ALB2 ALBA	protein stabilization [GO:0050821]
P20933	ASPG_HUMAN	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase (EC 3.5.1.26) (Aspartylglucosaminidase) (Glycosylasparaginase) (N4-(N-acetyl-beta-glucosaminyl)-L-asparagine amidase) [Cleaved into: Glycosylasparaginase alpha chain; Glycosylasparaginase beta chain]	AGA	proteolysis [GO:0006508]
A0A494C0G5	A0A494C0G5_HUMAN	Agrin	AGRN	cell differentiation [GO:0030154]
P01019	ANGT_HUMAN	Angiotensinogen (Serpin A8) [Cleaved into: Angiotensin-1 (Angiotensin 1-10) (Angiotensin I) (Ang I); Angiotensin-2 (Angiotensin 1-8) (Angiotensin II) (Ang II); Angiotensin-3 (Angiotensin 2-8) (Angiotensin III) (Ang III) (Des-Asp[1]-angiotensin II); Angiotensin-4 (Angiotensin 3-8) (Angiotensin IV) (Ang IV); Angiotensin 1-9; Angiotensin 1-7; Angiotensin 1-5; Angiotensin 1-4]	AGT SERPINA8	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0051897]
P02765	FETUA_HUMAN	Alpha-2-HS-glycoprotein (Alpha-2-Z-globulin) (Ba-alpha-2-glycoprotein) (Fetuin-A) [Cleaved into: Alpha-2-HS-glycoprotein chain A; Alpha-2-HS-glycoprotein chain B]	AHSG FETUA PRO2743	acute-phase response [GO:0006953]
P02768	ALBU_HUMAN	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	other
Q13740	CD166_HUMAN	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	ALCAM MEMD	cell adhesion [GO:0007155]
P04075	ALDOA_HUMAN	Fructose-bisphosphate aldolase A (EC 4.1.2.13) (Lung cancer antigen NY-LU-1) (Muscle-type aldolase)	ALDOA ALDA	regulation of cell shape [GO:0008360]
P09972	ALDOC_HUMAN	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	other
P02760	AMBP_HUMAN	Protein AMBP (Protein HC) [Cleaved into: Alpha-1-microglobulin (EC 1.6.2.-) (Alpha-1 microglycoprotein) (Complex-forming glycoprotein heterogeneous in charge); Inter-alpha-trypsin inhibitor light chain (ITI-LC) (Bikunin) (EDC1) (HI-30) (Uronic-acid-rich protein); Trypstatin]	AMBP HCP ITIL	cell adhesion [GO:0007155]
P19961	AMY2B_HUMAN	Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)	AMY2B	carbohydrate metabolic process [GO:0005975]
P03950	ANGI_HUMAN	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	innate immune response [GO:0045087]
O43827	ANGL7_HUMAN	Angiopoietin-related protein 7 (Angiopoietin-like factor) (Angiopoietin-like protein 7) (Cornea-derived transcript 6 protein)	ANGPTL7 CDT6 UNQ313/PRO356	other
P15144	AMPN_HUMAN	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	ANPEP APN CD13 PEPN	proteolysis [GO:0006508]
P08758	ANXA5_HUMAN	Annexin A5 (Anchorin CII) (Annexin V) (Annexin-5) (Calphobindin I) (CPB-I) (Endonexin II) (Lipocortin V) (Placental anticoagulant protein 4) (PP4) (Placental anticoagulant protein I) (PAP-I) (Thromboplastin inhibitor) (Vascular anticoagulant-alpha) (VAC-alpha)	ANXA5 ANX5 ENX2 PP4	signal transduction [GO:0007165]
P02743	SAMP_HUMAN	Serum amyloid P-component (SAP) (9.5S alpha-1-glycoprotein) [Cleaved into: Serum amyloid P-component(1-203)]	APCS PTX2	innate immune response [GO:0045087]
P51693	APLP1_HUMAN	Amyloid beta precursor like protein 1 (Amyloid beta (A4) precursor-like protein 1) (Amyloid-like protein 1) (APLP) (APLP-1) [Cleaved into: C30]	APLP1	cell adhesion [GO:0007155]
Q06481	APLP2_HUMAN	Amyloid beta precursor like protein 2 (APPH) (Amyloid beta (A4) precursor-like protein 2) (Amyloid protein homolog) (Amyloid-like protein 2) (APLP-2) (CDEI box-binding protein) (CDEBP) (Sperm membrane protein YWK-II)	APLP2 APPL2	central nervous system development [GO:0007417]
P02647	APOA1_HUMAN	Apolipoprotein A-I (Apo-AI) (ApoA-I) (Apolipoprotein A1) [Cleaved into: Proapolipoprotein A-I (ProapoA-I); Truncated apolipoprotein A-I (Apolipoprotein A-I(1-242))]	APOA1	G protein-coupled receptor signaling pathway [GO:0007186]
V9GYM3	V9GYM3_HUMAN	Apolipoprotein A-II (Apolipoprotein A2)	APOA2	other
P06727	APOA4_HUMAN	Apolipoprotein A-IV (Apo-AIV) (ApoA-IV) (Apolipoprotein A4)	APOA4	cholesterol metabolic process [GO:0008203]
A0AAG2UUW0	A0AAG2UUW0_HUMAN	Apolipoprotein B	APOB	other
P02654	APOC1_HUMAN	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]	APOC1	cholesterol metabolic process [GO:0008203]
P02656	APOC3_HUMAN	Apolipoprotein C-III (Apo-CIII) (ApoC-III) (Apolipoprotein C3)	APOC3	G protein-coupled receptor signaling pathway [GO:0007186]
K7ER74	K7ER74_HUMAN	Apolipoprotein C-II (Apo-CII) (ApoC-II) (Apolipoprotein C2)	APOC4-APOC2	other
P05090	APOD_HUMAN	Apolipoprotein D (Apo-D) (ApoD)	APOD	angiogenesis [GO:0001525]
P02649	APOE_HUMAN	Apolipoprotein E (Apo-E)	APOE	positive regulation of ERK1 and ERK2 cascade [GO:0070374]
P02749	APOH_HUMAN	Beta-2-glycoprotein 1 (APC inhibitor) (Activated protein C-binding protein) (Anticardiolipin cofactor) (Apolipoprotein H) (Apo-H) (Beta-2-glycoprotein I) (B2GPI) (Beta(2)GPI)	APOH B2G1	other
O14791	APOL1_HUMAN	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	APOL1 APOL	innate immune response [GO:0045087]
O95445	APOM_HUMAN	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	APOM G3A NG20 HSPC336	other
P05067	A4_HUMAN	Amyloid-beta precursor protein (APP) (ABPP) (APPI) (Alzheimer disease amyloid A4 protein homolog) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Amyloid-beta (A4) precursor protein) (Amyloid-beta A4 protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (Beta-secretase C-terminal fragment) (Beta-CTF); Amyloid-beta protein 42 (Abeta42) (Beta-APP42); Amyloid-beta protein 40 (Abeta40) (Beta-APP40); C83 (Alpha-secretase C-terminal fragment) (Alpha-CTF); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	cell adhesion [GO:0007155]
Q13508	NAR3_HUMAN	Ecto-ADP-ribosyltransferase 3 (EC 2.4.2.31) (ADP-ribosyltransferase C2 and C3 toxin-like 3) (ARTC3) (Mono(ADP-ribosyl)transferase 3) (NAD(P)(+)--arginine ADP-ribosyltransferase 3)	ART3 TMART	other
Q13510	ASAH1_HUMAN	Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) (Acylsphingosine deacylase) (Glycosylceramide deacylase) (EC 3.5.1.109) (N-acylethanolamine hydrolase ASAH1) (EC 3.5.1.-) (N-acylsphingosine amidohydrolase) (Putative 32 kDa heart protein) (PHP32) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]	ASAH1 ASAH HSD-33 HSD33	other
Q15904	VAS1_HUMAN	V-type proton ATPase subunit S1 (V-ATPase subunit S1) (Protein XAP-3) (V-ATPase Ac45 subunit) (V-ATPase S1 accessory protein) (Vacuolar proton pump subunit S1)	ATP6AP1 ATP6IP1 ATP6S1 VATPS1 XAP3	other
O75882	ATRN_HUMAN	Attractin (DPPT-L) (Mahogany homolog)	ATRN KIAA0548 MGCA	inflammatory response [GO:0006954]
P30530	UFO_HUMAN	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	AXL UFO	innate immune response [GO:0045087]
P25311	ZA2G_HUMAN	Zinc-alpha-2-glycoprotein (Zn-alpha-2-GP) (Zn-alpha-2-glycoprotein)	AZGP1 ZAG ZNGP1	cell adhesion [GO:0007155]
H0YLF3	H0YLF3_HUMAN	Beta-2-microglobulin	B2M	other
P61769	B2MG_HUMAN	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	negative regulation of neuron projection development [GO:0010977]
Q9NY97	B3GN2_HUMAN	N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2 (EC 2.4.1.149) (Beta-1,3-N-acetylglucosaminyltransferase 1) (BGnT-1) (Beta-1,3-Gn-T1) (Beta3Gn-T1) (Beta-1,3-galactosyltransferase 7) (Beta-1,3-GalTase 7) (Beta3Gal-T7) (Beta3GalT7) (b3Gal-T7) (Beta-3-Gx-T7) (UDP-Gal:beta-GlcNAc beta-1,3-galactosyltransferase 7) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2) (BGnT-2) (Beta-1,3-Gn-T2) (Beta-1,3-N-acetylglucosaminyltransferase 2) (Beta3Gn-T2) (UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase 7)	B3GNT2 B3GALT7 B3GNT1	axon guidance [GO:0007411]
P15291	B4GT1_HUMAN	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase) (Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase) (EC 2.4.1.38) (Lactose synthase A protein) (EC 2.4.1.22) (N-acetyllactosamine synthase) (EC 2.4.1.90) (Nal synthase) (Neolactotriaosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.275) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1]	B4GALT1 GGTB2	cell adhesion [GO:0007155]
O43505	B4GA1_HUMAN	Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1 B3GNT1 B3GNT6	axon guidance [GO:0007411]
P80723	BASP1_HUMAN	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	BASP1 NAP22	other
Q96GW7	PGCB_HUMAN	Brevican core protein (Brain-enriched hyaluronan-binding protein) (BEHAB) (Chondroitin sulfate proteoglycan 7)	BCAN BEHAB CSPG7 UNQ2525/PRO6018	cell adhesion [GO:0007155]
P06276	CHLE_HUMAN	Cholinesterase (EC 3.1.1.8) (Acylcholine acylhydrolase) (Butyrylcholine esterase) (Choline esterase II) (Pseudocholinesterase)	BCHE CHE1	negative regulation of cell population proliferation [GO:0008285]
Q9NX62	IMPA3_HUMAN	Golgi-resident adenosine 3',5'-bisphosphate 3'-phosphatase (Golgi-resident PAP phosphatase) (gPAPP) (EC 3.1.3.7) (3'(2'), 5'-bisphosphate nucleotidase 2) (Inositol monophosphatase domain-containing protein 1) (Myo-inositol monophosphatase A3) (Phosphoadenosine phosphate 3'-nucleotidase)	BPNT2 IMPA3 IMPAD1	skeletal system development [GO:0001501]
P43251	BTD_HUMAN	Biotinidase (Biotinase) (EC 3.5.1.12)	BTD	central nervous system development [GO:0007417]
Q6UX73	CP089_HUMAN	UPF0764 protein C16orf89	C16orf89 UNQ904/PRO1925	other
P02745	C1QA_HUMAN	Complement C1q subcomponent subunit A	C1QA	innate immune response [GO:0045087]
P02746	C1QB_HUMAN	Complement C1q subcomponent subunit B	C1QB	innate immune response [GO:0045087]
P02747	C1QC_HUMAN	Complement C1q subcomponent subunit C	C1QC C1QG	immune response [GO:0006955]
Q9BXJ0	C1QT5_HUMAN	Complement C1q tumor necrosis factor-related protein 5	C1QTNF5 CTRP5 UNQ303/PRO344	other
P00736	C1R_HUMAN	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain; Complement C1r subcomponent light chain]	C1R	immune response [GO:0006955]
Q9NZP8	C1RL_HUMAN	Complement C1r subcomponent-like protein (C1r-LP) (C1r-like protein) (EC 3.4.21.-) (C1r-like serine protease analog protein) (CLSPa)	C1RL C1RL1 C1RLP CLSPA	innate immune response [GO:0045087]
P09871	C1S_HUMAN	Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain; Complement C1s subcomponent light chain]	C1S	proteolysis [GO:0006508]
P06681	CO2_HUMAN	Complement C2 (EC 3.4.21.43) (C3/C5 convertase) [Cleaved into: Complement C2b fragment; Complement C2a fragment]	C2	proteolysis [GO:0006508]
A0A8Q3WM02	A0A8Q3WM02_HUMAN	Complement C3	C3	inflammatory response [GO:0006954]
P01024	CO3_HUMAN	Complement C3 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 1) [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc); Complement C3 alpha chain; C3a anaphylatoxin; Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2]	C3 CPAMD1	immune response [GO:0006955]
P0C0L4	CO4A_HUMAN	Complement C4-A (Acidic complement C4) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 2) [Cleaved into: Complement C4 beta chain; Complement C4-A alpha chain; C4a anaphylatoxin; C4b-A; C4d-A; Complement C4 gamma chain]	C4A CO4 CPAMD2	innate immune response [GO:0045087]
A0A3B3ISA6	A0A3B3ISA6_HUMAN	Complement C4B (Chido blood group)	C4B	innate immune response [GO:0045087]
P04003	C4BPA_HUMAN	C4b-binding protein alpha chain (C4bp) (Proline-rich protein) (PRP)	C4BPA C4BP	innate immune response [GO:0045087]
P01031	CO5_HUMAN	Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5 alpha' chain]	C5 CPAMD4	inflammatory response [GO:0006954]
P13671	CO6_HUMAN	Complement component C6	C6	innate immune response [GO:0045087]
P10643	CO7_HUMAN	Complement component C7	C7	complement activation, classical pathway [GO:0006958]
P07357	CO8A_HUMAN	Complement component C8 alpha chain (Complement component 8 subunit alpha)	C8A	immune response [GO:0006955]
P07358	CO8B_HUMAN	Complement component C8 beta chain (Complement component 8 subunit beta)	C8B	immune response [GO:0006955]
P07360	CO8G_HUMAN	Complement component C8 gamma chain	C8G	complement activation, classical pathway [GO:0006958]
P02748	CO9_HUMAN	Complement component C9 [Cleaved into: Complement component C9a; Complement component C9b]	C9	complement activation, classical pathway [GO:0006958]
P22748	CAH4_HUMAN	Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV)	CA4	other
Q5VU97	CAHD1_HUMAN	VWFA and cache domain-containing protein 1 (Cache domain-containing protein 1)	CACHD1 KIAA1573 VWCD1	other
P54289	CA2D1_HUMAN	Voltage-dependent calcium channel subunit alpha-2/delta-1 (Voltage-gated calcium channel subunit alpha-2/delta-1) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-1; Voltage-dependent calcium channel subunit delta-1]	CACNA2D1 CACNL2A CCHL2A MHS3	other
C9JE82	C9JE82_HUMAN	Calcium voltage-gated channel auxiliary subunit alpha2delta 2	CACNA2D2	other
Q9BY67	CADM1_HUMAN	Cell adhesion molecule 1 (Immunoglobulin superfamily member 4) (IgSF4) (Nectin-like protein 2) (NECL-2) (Spermatogenic immunoglobulin superfamily) (SgIgSF) (Synaptic cell adhesion molecule) (SynCAM) (Tumor suppressor in lung cancer 1) (TSLC-1)	CADM1 IGSF4 IGSF4A NECL2 SYNCAM TSLC1	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Q8N3J6	CADM2_HUMAN	Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2)	CADM2 IGSF4D NECL3	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Q8N126	CADM3_HUMAN	Cell adhesion molecule 3 (Brain immunoglobulin receptor) (Immunoglobulin superfamily member 4B) (IgSF4B) (Nectin-like protein 1) (NECL-1) (Synaptic cell adhesion molecule 3) (SynCAM3) (TSLC1-like protein 1) (TSLL1)	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
Q8NFZ8	CADM4_HUMAN	Cell adhesion molecule 4 (Immunoglobulin superfamily member 4C) (IgSF4C) (Nectin-like protein 4) (NECL-4) (TSLC1-like protein 2)	CADM4 IGSF4C NECL4 TSLL2	homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]
P05937	CALB1_HUMAN	Calbindin (Calbindin D28) (D-28K) (Vitamin D-dependent calcium-binding protein, avian-type)	CALB1 CAB27	locomotory behavior [GO:0007626]
P27797	CALR_HUMAN	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP) (grp60)	CALR CRTC	positive regulation of gene expression [GO:0010628]
Q9UQM7	KCC2A_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit alpha (CaM kinase II subunit alpha) (CaMK-II subunit alpha) (EC 2.7.11.17)	CAMK2A CAMKA KIAA0968	other
Q13554	KCC2B_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit beta (CaM kinase II subunit beta) (CaMK-II subunit beta) (EC 2.7.11.17)	CAMK2B CAM2 CAMK2 CAMKB	signal transduction [GO:0007165]
Q8WVQ1	CANT1_HUMAN	Soluble calcium-activated nucleotidase 1 (SCAN-1) (EC 3.6.1.6) (Apyrase homolog) (Putative MAPK-activating protein PM09) (Putative NF-kappa-B-activating protein 107)	CANT1 SHAPY	other
P27824	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	protein folding [GO:0006457]
Q16568	CART_HUMAN	Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-39); CART(42-89)]	CARTPT CART	signal transduction [GO:0007165]
P23435	CBLN1_HUMAN	Cerebellin-1 (Precerebellin) [Cleaved into: Cerebellin (CER); [des-Ser1]-cerebellin]	CBLN1	nervous system development [GO:0007399]
Q6UW01	CBLN3_HUMAN	Cerebellin-3	CBLN3 UNQ755/PRO1486	other
